FirstName,LastName,Team,Position,SalaryBase ($),SalaryGuaranteed ($)
Mathías,Laborda,Vancouver Whitecaps,D,760000.0,903625.0
Jake,LaCava,Inter Miami,M,85444.0,85444.0
Kevon,Lambert,Real Salt Lake,D-M,180000.0,198150.0
Lassi,Lappalainen,CF Montreal,M,630000.0,660000.0
Oliver,Larraz,Colorado Rapids,M,85444.0,85444.0
Richie,Laryea,Vancouver Whitecaps,D,1436338.0,1436338.0
Damian,Las,Austin FC,GK,67360.0,67360.0
Ariel,Lassiter,CF Montreal,M,220000.0,240280.0
Randall,Leal,Nashville SC,M,1000000.0,1115000.0
Richard,Ledezma,New York City FC,M-F,350000.0,396000.0
Kelvin,Leerdam,LA Galaxy,D,300000.0,335000.0
Tim,Leibold,Sporting Kansas City,D,500000.0,501050.0
Brooks,Lennon,Atlanta United,D,700000.0,700000.0
Tony,Leone,LAFC,D,125000.0,127000.0
Jonathan,Lewis,Colorado Rapids,M,410000.0,435000.0
Danny,Leyva,Colorado Rapids,D-M,200000.0,224900.0
Nick,Lima,Austin FC,D,375000.0,375000.0
Lucas,Lima Linhares,New York Red Bulls,M-F,1155000.0,1206042.0
Jaylin,Lindsey,Charlotte,D,250000.0,286250.0
Sebastian,Lletget,FC Dallas,M,700000.0,791250.0
Saba,Lobjanidze,Atlanta United,M,2052000.0,2150750.0
Robin,Lod,Minnesota United,M,900000.0,1039375.0
Nicolás,Lodeiro,Seattle Sounders FC,M-F,2640000.0,3256667.0
Aaron,Long,LAFC,D,1199772.0,1243056.0
Ahmed,Longmire,Nashville SC,D,67360.0,67360.0
Marvin,Loría,Portland Timbers,M,200000.0,239375.0
Evan,Louro,Cincinnati,GK,88200.0,88200.0
Daniel,Lovitz,Nashville SC,D,551250.0,568750.0
Damion,Lowe,Philadelphia Union,D,275000.0,318333.0
Favian,Loyola,Orlando City SC,M-F,67360.0,69495.0
Rafael,Lucas Cardoso dos Santos,Orlando City SC,D,300000.0,326188.0
Diego,Luna,Real Salt Lake,M-F,120000.0,134380.0
Adam,Lundqvist,Austin FC,D,350000.0,397500.0
Ben,Lundt,St. Louis City SC,GK,100000.0,112833.0
Jack,Lynn,Orlando City SC,F,68775.0,68775.0
Larrys,Mabiala,Portland Timbers,D,400000.0,412500.0
Aimé,Mabika,Toronto FC,D,85444.0,93569.0
Zac,MacMath,Real Salt Lake,GK,350000.0,350000.0
Lukas,MacNaughton,Nashville SC,D,85444.0,87544.0
Jack,Maher,Nashville SC,D,260004.0,355471.0
Cassius,Mailula,Toronto FC,M,275000.0,291003.0
Olwethu,Makhanya,Philadelphia Union,D,150000.0,188875.0
Christian,Makoun,New England Revolution,D,225000.0,225000.0
Adilson,Malanda,Charlotte,D,275000.0,303083.0
Denil,Maldonado,LAFC,D,355000.0,386167.0
Elias,Manoel Alves de Paula,New York Red Bulls,F,420000.0,497250.0
JT,Marcinkowski,San Jose Earthquakes,GK,350000.0,350000.0
AJ,Marcucci,New York Red Bulls,GK,85444.0,85444.0
Paul,Marie,San Jose Earthquakes,D,180000.0,191375.0
Anthony,Markanich,St. Louis City SC,D,68775.0,68775.0
George,Marks,Charlotte,GK,68775.0,68775.0
Mikael,Marqués,Minnesota United,D,100000.0,116250.0
Jahkeele,Marshall-Rutty,Toronto FC,D,152500.0,159313.0
Nick,Marsman,Major League Soccer,GK,474996.0,587184.0
Josef,Martínez,Inter Miami,F,4000000.0,4391667.0
José,Martínez,Philadelphia Union,D-M,550000.0,772500.0
José Antonio,Martínez,FC Dallas,D,700000.0,773000.0
Alonso,Martínez,New York City FC,M,249996.0,278479.0
Ben,Martino,Nashville SC,GK,67360.0,87610.0
Felipe,Martins,Orlando City SC,M,85444.0,85444.0
Luís,Martins,Vancouver Whitecaps,D,300000.0,300000.0
Thiago,Martins,New York City FC,D,1650000.0,2112000.0
Alexandru,Matan,Columbus Crew,M,450000.0,483250.0
Jimmy,Maurer,FC Dallas,GK,300000.0,317938.0
Chris,Mavinga,LA Galaxy,D,399996.0,452496.0
Andreas,Maxsö,Colorado Rapids,D,1100000.0,1292500.0
Olivier,Mbaizo,Philadelphia Union,D,300000.0,373589.0
Hugo,Mbongue,Toronto FC,F,67360.0,78787.0
John,McCarthy,LAFC,GK,115000.0,121667.0
Dax,McCarty,Nashville SC,M,275000.0,302500.0
Aiden,McFadden,Atlanta United,D,85444.0,85444.0
Christian,McFarlane,New York City FC,D,85444.0,108700.0
Jack,McGlynn,Philadelphia Union,M,160000.0,186533.0
Zac,McGraw,Portland Timbers,D,130000.0,151875.0
Duncan,McGuire,Orlando City SC,F,67360.0,77360.0
Kendall,McIntosh,Sporting Kansas City,GK,130000.0,130000.0
Tommy,McNamara,New England Revolution,M,420000.0,420000.0
Christopher,McVey,Inter Miami,D,219996.0,244296.0
Ryan,Meara,New York Red Bulls,GK,280000.0,280000.0
Cruz,Medina,San Jose Earthquakes,M-F,85444.0,103838.0
Jimmy,Medranda,Columbus Crew,D,300000.0,331250.0
Tim,Melia,Sporting Kansas City,GK,625000.0,637500.0
Jonathan,Mensah,San Jose Earthquakes,D,1025000.0,1165667.0
Justin,Meram,Charlotte,M,450000.0,493750.0
Lionel,Messi,Inter Miami,M,12000000.0,20446667.0
Matt,Miazga,Cincinnati,D,1500000.0,1500000.0
Novak,Micovic,LA Galaxy,GK,67360.0,67360.0
Matko,Miljevic,CF Montreal,M,545455.0,593364.0
Kamal,Miller,Inter Miami,D,375000.0,420000.0
Eric,Miller,Portland Timbers,D,120000.0,135000.0
Tyler,Miller,DC United,GK,400000.0,425000.0
Juan,Mina,New York Red Bulls,D,131000.0,146432.0
João Paulo,Mior,Seattle Sounders FC,M,1300000.0,1383333.0
Cody,Mizell,New York City FC,GK,85444.0,85444.0
Shak,Mohammed,Orlando City SC,M,85444.0,102444.0
Kevin,Molino,Columbus Crew,M,735367.0,735367.0
Alex,Monis,Chicago Fire,M,85444.0,87344.0
Jamiro,Monteiro,San Jose Earthquakes,M,1200000.0,1293500.0
Fredy,Montero,Seattle Sounders FC,F,195000.0,195000.0
Shaq,Moore,Nashville SC,D,725000.0,806500.0
Felipe,Mora,Portland Timbers,F,120000.0,317750.0
Santiago,Morales,Inter Miami,M-F,67360.0,75693.0
Efraín,Morales,Atlanta United,D,85444.0,85444.0
Alfredo,Morales,New York City FC,M,600000.0,662250.0
Maxi,Moralez,New York City FC,M-F,480000.0,500000.0
Steven,Moreira,Columbus Crew,D,700000.0,782708.0
Santiago,Moreno,Portland Timbers,M,340000.0,384993.0
Júnior,Moreno,Cincinnati,D-M,349992.0,398741.0
Lewis,Morgan,New York Red Bulls,M,1200000.0,1375000.0
Aidan,Morris,Columbus Crew,M,500000.0,562500.0
Jake,Morris,Columbus Crew,D,85444.0,85444.0
Jordan,Morris,Seattle Sounders FC,M,1550000.0,1560000.0
Juan David,Mosquera,Portland Timbers,D,184000.0,209667.0
Yerson,Mosquera,Cincinnati,D,600000.0,650000.0
Edwin,Mosquera,Atlanta United,M,375000.0,412000.0
Chris,Mueller,Chicago Fire,M,600000.0,662320.0
Hany,Mukhtar,Nashville SC,M-F,2900000.0,3188750.0
José,Mulato,FC Dallas,F,85444.0,123627.0
Daniel,Munie,San Jose Earthquakes,D,67360.0,67360.0
Mujeeb,Murana,Houston Dynamo,D,67360.0,67360.0
Jesús,Murillo,LAFC,D,450000.0,509500.0
Ian,Murphy,Cincinnati,D,72050.0,74300.0
Danny,Musovski,Real Salt Lake,F,98687.0,98687.0
Alex,Muyl,Nashville SC,M,500000.0,500000.0
Tristan,Muyumba,Atlanta United,D-M,450000.0,491600.0
Andy,Nájar,DC United,D,450000.0,450000.0
Darlington,Nagbe,Columbus Crew,M,1800000.0,1800000.0
Federico,Navarro,Chicago Fire,D-M,450000.0,507500.0
Miguel,Navarro,Chicago Fire,D,260004.0,299004.0
Rafael,Navarro Leal,Colorado Rapids,F,1100000.0,1427708.0
Hassan,Ndam,New York Red Bulls,D,88200.0,88200.0
Logan,Ndenbe,Sporting Kansas City,D,350000.0,396125.0
Jalen,Neal,LA Galaxy,D,125000.0,138625.0
Dylan,Nealis,New York Red Bulls,D,225000.0,246250.0
Sean,Nealis,New York Red Bulls,D,400000.0,476250.0
Jack,Neeley,Charlotte,D,67360.0,69360.0
Franco,Negri,Inter Miami,D,225000.0,317500.0
Michael,Nelson,Houston Dynamo,GK,135000.0,149500.0
John,Nelson,St. Louis City SC,D,160000.0,168000.0
Jake,Nerwinski,St. Louis City SC,D,250000.0,277500.0
Harvey,Neville,Inter Miami,D,67360.0,67360.0
J.C.,Ngando,Vancouver Whitecaps,D-M,67360.0,85359.0
Serge,Ngoma,New York Red Bulls,M,67360.0,87312.0
Sam,Nicholson,Colorado Rapids,M,325000.0,360313.0
Jaroslaw,Niezgoda,Portland Timbers,F,850000.0,1019244.0
Joakim,Nilsson,St. Louis City SC,D,1102450.0,1170950.0
Matthew,Nocita,New York Red Bulls,D,88200.0,88200.0
Nolan,Norris,FC Dallas,D,67360.0,86002.0
Tsiki,Ntsabeleng,FC Dallas,M-F,85444.0,85444.0
Obinna,Nwobodo,Cincinnati,D-M,1155000.0,1289400.0
Moses,Nyeman,Real Salt Lake,D-M,115000.0,133822.0
Owen,O'Malley,St. Louis City SC,D,67360.0,72360.0
Shane,O'Neill,Toronto FC,D,350000.0,388000.0
Kevin,O'Toole,New York City FC,D,85444.0,85444.0
Jáder,Obrian,FC Dallas,M,382500.0,467100.0
Alfonso,Ocampo-Chávez,Austin FC,F,67360.0,83360.0
David,Ochoa,Inter Miami,D-M,67360.0,69360.0
Emmanuel,Ochoa,San Jose Earthquakes,GK,130000.0,140071.0
Richard,Odada,Philadelphia Union,M,95000.0,113500.0
Chinonso,Offor,CF Montreal,F,200000.0,257875.0
Curtis,Ofori,New York Red Bulls,D,67360.0,76110.0
Martín,Ojeda,Orlando City SC,M,840000.0,912600.0
Braian,Ojeda,Real Salt Lake,M,590000.0,648653.0
Jean Mota,Oliveira de Sousa,Inter Miami,M,750000.0,828750.0
Cristian,Olivera,LAFC,M,650000.0,650000.0
Tani,Oluwaseyi,Minnesota United,F,68775.0,68775.0
Wyatt,Omsberg,Chicago Fire,D,170000.0,187000.0
Kwadwo,Opoku,CF Montreal,M,310344.0,512100.0
Arquímides,Ordóñez,Cincinnati,F,85444.0,88981.0
Nathan,Ordaz,LAFC,F,85444.0,87944.0
Sergio,Oregel,Chicago Fire,M,67360.0,67360.0
Jaziel,Orozco,Real Salt Lake,D,85444.0,85444.0
Jonathan,Osorio,Toronto FC,M,1400000.0,1400000.0
Tomás,Ostrák,St. Louis City SC,M-F,700000.0,801000.0
Javier,Otero,Orlando City SC,GK,67360.0,67360.0
Bryan,Oviedo,Real Salt Lake,D,325000.0,375826.0
Prince Osei,Owusu,Toronto FC,F,600000.0,707500.0
Samuel,Owusu,New York City FC,D,67360.0,67360.0
Jonathan,Pérez,LA Galaxy,M,250000.0,283000.0
Devin,Padelford,Minnesota United,D,67360.0,74360.0
Maarten,Paes,FC Dallas,GK,300000.0,337500.0
Nelson,Palacio,Real Salt Lake,M,300000.0,343167.0
Diego,Palacios,LAFC,D,540000.0,564000.0
Sergi,Palencia,LAFC,D,225000.0,432500.0
Jack,Panayotou,New England Revolution,M-F,67360.0,69360.0
Elliot,Panicco,Nashville SC,GK,89716.0,89716.0
James,Pantemis,CF Montreal,GK,144996.0,163996.0
Cristhian,Paredes,Portland Timbers,M,550000.0,648000.0
Isaiah,Parente,Columbus Crew,M,85444.0,89444.0
Isaiah,Parker,FC Dallas,D,67360.0,77360.0
Tim,Parker,St. Louis City SC,D,1000000.0,1037500.0
Keaton,Parks,New York City FC,D-M,550000.0,550000.0
Ilijah,Paul,Real Salt Lake,F,67360.0,74873.0
Nathan Raphael,Pelae Cardoso,San Jose Earthquakes,D,700000.0,741250.0
Matías,Pellegrini,New York City FC,M,1025000.0,1120833.0
Andrés,Perea,New York City FC,D-M,525000.0,591500.0
Daniel,Pereira,Austin FC,M,100000.0,118414.0
Mauricio,Pereyra,Orlando City SC,M-F,675000.0,675000.0
Miguel,Perez,St. Louis City SC,M,67360.0,67360.0
Jordan,Perruzza,Toronto FC,F,130000.0,132500.0
Nebiyou,Perry,Nashville SC,M,67360.0,74860.0
Luca,Petrasso,Orlando City SC,D,85444.0,94468.0
Raoul,Petretta,Toronto FC,D,625000.0,856625.0
Fafà,Picault,Nashville SC,M,650000.0,650000.0
Selmir,Pidro,St. Louis City SC,D,325000.0,374375.0
Nelson,Pierre,Philadelphia Union,F,67360.0,81476.0
Delentz,Pierre,Real Salt Lake,D,67360.0,72795.0
Kayden,Pierre,Sporting Kansas City,D,85444.0,91819.0
Samuel,Piette,CF Montreal,D-M,397375.0,469563.0
Mauricio,Pineda,Chicago Fire,D,255000.0,286220.0
Donovan,Pines,DC United,D,200000.0,202000.0
Malik,Pinto,Cincinnati,D-M,67360.0,67360.0
Matt,Polster,New England Revolution,D-M,500000.0,541667.0
Célio Antonio,Pompeu,St. Louis City SC,M,68775.0,68775.0
Paxton,Pomykal,FC Dallas,M-F,800000.0,908000.0
Alvas,Powell,Cincinnati,D,190000.0,207000.0
Jack,Price,Colorado Rapids,M,762500.0,825000.0
Ralph,Priso-Mbongue,Colorado Rapids,D-M,89716.0,89716.0
Andrew,Privett,Charlotte,D,67360.0,67360.0
Kacper,Przybylko,Chicago Fire,F,1100004.0,1212504.0
Riqui,Puig,LA Galaxy,M,1650000.0,1732500.0
Teemu,Pukki,Minnesota United,F,3200000.0,3550000.0
Alan,Pulido,Sporting Kansas City,F,2200000.0,2200000.0
John,Pulskamp,Sporting Kansas City,GK,150000.0,173500.0
Juan José,Purata,Atlanta United,D,400000.0,483500.0
Nelson,Quiñónes,Houston Dynamo,M,216996.0,237890.0
Facundo,Quignón,FC Dallas,D-M,836000.0,890627.0
Philip,Quinton,Columbus Crew,D,67360.0,67360.0
Romell,Quioto,CF Montreal,F,950000.0,1035000.0
Daniel,Ríos,Houston Dynamo,M-F,85444.0,89886.0
Nemanja,Radoja,Sporting Kansas City,D-M,800000.0,890000.0
Jeremy,Rafanello,Philadelphia Union,M-F,85444.0,93080.0
Jackson,Ragen,Seattle Sounders FC,D,85444.0,85444.0
Brooklyn,Raines,Houston Dynamo,M,85444.0,103507.0
Christian,Ramirez,Columbus Crew,F,400000.0,445833.0
Greg,Ranjitsingh,Toronto FC,GK,95000.0,100167.0
Ryan,Raposo,Vancouver Whitecaps,M,120000.0,137000.0
Justin,Rasmussen,Portland Timbers,D,85444.0,85444.0
Sean,Rea,CF Montreal,M-F,85444.0,92340.0
Matt,Real,Philadelphia Union,D,140000.0,149833.0
Rodney,Redes,Austin FC,M,440000.0,440000.0
Jayden,Reid,New York Red Bulls,D,67360.0,77179.0
Justin,Rennicks,New England Revolution,F,125000.0,133000.0
Ben,Reveno,New England Revolution,D,68775.0,68775.0
Andrés,Reyes,New York Red Bulls,D,450000.0,494375.0
Justin,Reynolds,Chicago Fire,D,67360.0,67360.0
Emanuel,Reynoso,Minnesota United,M-F,1600000.0,2151200.0
Spencer,Richey,Chicago Fire,GK,132000.0,132000.0
Will,Richmond,San Jose Earthquakes,M,68775.0,68775.0
Emiliano,Rigoni,Austin FC,M,1599996.0,2047996.0
Chris,Rindov,Sporting Kansas City,D,67360.0,67360.0
Alexander,Ring,Austin FC,M,1500000.0,1640000.0
Birk,Risa,New York City FC,D,600000.0,689750.0
Wilfredo,Rivera,Orlando City SC,F,85444.0,85444.0
Luis,Rivera,Real Salt Lake,D,67360.0,78460.0
Damián,Rivera,New England Revolution,M,88200.0,88200.0
Nigel,Robertha,DC United,F,550000.0,646542.0
Robbie,Robinson,Inter Miami,M,200000.0,231000.0
Miles,Robinson,Atlanta United,D,1400000.0,1437500.0
Harrison,Robledo,Cincinnati,D-M,85444.0,106336.0
Emerson,Rodríguez,Inter Miami,M,330000.0,365700.0
Missael,Rodríguez,Chicago Fire,F,67360.0,67360.0
Martín,Rodríguez,DC United,M,1000000.0,1266200.0
Memo,Rodríguez,Austin FC,M,180000.0,210167.0
Santiago,Rodríguez,New York City FC,M-F,1200000.0,1331333.0
Antônio Josenildo,Rodrigues de Oliveira,San Jose Earthquakes,D,600000.0,658000.0
Allan,Rodriguez,Chicago Fire,D-M,85444.0,87344.0
Abraham,Rodriguez,Colorado Rapids,GK,88200.0,88200.0
Cristian,Roldán,Seattle Sounders FC,M,1320000.0,1441000.0
Álex,Roldán,Seattle Sounders FC,D,300000.0,332500.0
Jhohan,Romaña,Austin FC,D,460000.0,460000.0
Brian,Romero,Charlotte,M,67360.0,78193.0
Tomás,Romero,Toronto FC,GK,120000.0,125000.0
Abraham,Romero,LAFC,GK,85444.0,85444.0
Dave,Romney,New England Revolution,D,625000.0,671667.0
Connor,Ronan,Colorado Rapids,M,460000.0,512400.0
Diego,Rosales,LAFC,D,67360.0,67360.0
Joseph,Rosales,Minnesota United,M,85444.0,85444.0
Uri,Rosell,LA Galaxy,D-M,500000.0,500000.0
Keegan,Rosenberry,Colorado Rapids,D,400000.0,400000.0
Dany,Rosero,Sporting Kansas City,D,456000.0,456000.0
Matheus,Rossetto,Atlanta United,M,650000.0,764375.0
Diego,Rossi,Columbus Crew,M,2625000.0,2677000.0
Sigurd,Rosted,Toronto FC,D,763636.0,768636.0
Paul,Rothrock,Seattle Sounders FC,F,85444.0,85444.0
Kelyn,Rowe,Seattle Sounders FC,M,300000.0,300000.0
Rubio,Rubín,Real Salt Lake,F,600000.0,672847.0
Diego,Rubio,Colorado Rapids,F,660000.0,714667.0
Raúl,Ruidíaz,Seattle Sounders FC,F,2472000.0,3201120.0
Pablo,Ruiz,Real Salt Lake,M,500000.0,573500.0
Albert,Rusnák,Seattle Sounders FC,M-F,1800000.0,1871667.0
Johnny,Russell,Sporting Kansas City,M,1000000.0,1000000.0
Jacen,Russell-Rowe,Columbus Crew,F,67360.0,74749.0
Ilie,Sánchez,LAFC,D-M,1207500.0,1207500.0
Ryan,Sailor,Inter Miami,D,85444.0,85444.0
Adam,Saldaña,LA Galaxy,M,93989.0,93989.0
Nathan-Dylan,Saliba,CF Montreal,M,67360.0,79169.0
Abdi,Salim,Orlando City SC,D,67360.0,67360.0
Dániel,Sallói,Sporting Kansas City,M,1100000.0,1100000.0
Gaoussou,Samaké,DC United,D,85444.0,85444.0
Will,Sands,Columbus Crew,D,85444.0,91694.0
James,Sands,New York City FC,D,1000000.0,1058333.0
Pedro,Santos,DC United,M,350000.0,390000.0
Sergio,Santos,Cincinnati,F,700000.0,814375.0
C.J.,Sapong,Toronto FC,F,600000.0,616667.0
Hayden,Sargis,DC United,D,85444.0,85444.0
Jefferson,Savarino,Real Salt Lake,M,1525000.0,1749292.0
Nick,Scardina,Charlotte,M,67360.0,67360.0
Alessandro,Schöpf,Vancouver Whitecaps,M-F,900000.0,992500.0
Rodrigo,Schlegel,Orlando City SC,D,300000.0,349250.0
Tate,Schmitt,Houston Dynamo,D,85444.0,85444.0
Max,Schneider,St. Louis City SC,M,68775.0,68775.0
Patrick,Schulte,Columbus Crew,GK,88200.0,103178.0
Brady,Scott,Columbus Crew,GK,88200.0,88200.0
Tarik,Scott,FC Dallas,M,67360.0,83302.0
Dante,Sealy,FC Dallas,M,250000.0,277301.0
Gabriel,Segal,New York City FC,F,67360.0,67360.0
Eddie,Segura,LAFC,D,450000.0,450000.0
Amar,Sejdic,Atlanta United,D-M,85444.0,92111.0
Brandon,Servania,Toronto FC,M,475000.0,530833.0
Jacob,Shaffelburg,Nashville SC,M,150000.0,195000.0
Xherdan,Shaqiri,Chicago Fire,M-F,7350000.0,8153000.0
Billy,Sharp,LA Galaxy,F,240000.0,240000.0
Khiry,Shelton,Sporting Kansas City,F,575000.0,625000.0
Jonathan,Shore,New York City FC,M,67360.0,79860.0
Marcelo,Silva,Real Salt Lake,D,600000.0,600000.0
Xande,Silva,Atlanta United,M,480000.0,524250.0
Judson,Silva Tavares,San Jose Earthquakes,D-M,250000.0,250000.0
Vinicius,Silveira de Mello,Charlotte,F,315000.0,349900.0
Luke,Singh,Toronto FC,D,85444.0,93410.0
Jonathan,Sirois,CF Montreal,GK,85444.0,89780.0
Pablo,Sisniega,Charlotte,GK,190000.0,210667.0
Jack,Skahan,San Jose Earthquakes,M,88200.0,88200.0
Joey,Skinner,Nashville SC,D,67360.0,72360.0
Kyle,Smith,Orlando City SC,D,250000.0,265900.0
Collin,Smith,FC Dallas,D,130000.0,135000.0
Brad,Smith,Houston Dynamo,D,375000.0,416875.0
Jan,Sobocinski,Charlotte,D,325000.0,351250.0
Anton,Sorenson,Philadelphia Union,D,95000.0,98000.0
Santiago,Sosa,Atlanta United,D-M,575000.0,693100.0
Arnaud,Souquet,Chicago Fire,D,600000.0,679667.0
Ryan,Spaulding,New England Revolution,D,85444.0,85444.0
Steven,Sserwadda,New York Red Bulls,M,68775.0,68775.0
Dayne,St. Clair,Minnesota United,GK,410000.0,431875.0
Mason,Stajduhar,Orlando City SC,GK,130000.0,145650.0
Nicolás,Stefanelli,Inter Miami,F,400000.0,441667.0
Daniel,Steres,Houston Dynamo,D,355000.0,402175.0
Peter,Stroud,New York Red Bulls,M,85444.0,105447.0
Jared,Stroud,St. Louis City SC,M,88200.0,103200.0
Brad,Stuver,Austin FC,GK,408000.0,430813.0
Santiago,Suárez,New England Revolution,D,67360.0,80582.0
Quinn,Sullivan,Philadelphia Union,M,120000.0,123500.0
Hunter,Sulte,Portland Timbers,GK,85444.0,89247.0
Lawson,Sunderland,Inter Miami,M,67360.0,67360.0
Sam,Surridge,Nashville SC,F,2500000.0,2907639.0
Erik,Sviatchenko,Houston Dynamo,D,410532.0,460532.0
Ben,Sweat,New England Revolution,D,250000.0,250000.0
Karol,Swiderski,Charlotte,F,2200000.0,2258000.0
Ismael,Tajouri-Shradi,Minnesota United,M,85444.0,98777.0
Yohei,Takaoka,Vancouver Whitecaps,GK,179520.0,297233.0
Miguel,Tapias,Minnesota United,D,500012.0,586887.0
Andrew,Tarbell,Houston Dynamo,GK,250000.0,280000.0
Sidnei,Tavares,Colorado Rapids,M,525000.0,750600.0
Robert,Taylor,Inter Miami,M,276000.0,302900.0
D.J.,Taylor,Minnesota United,D,98261.0,98261.0
Russell,Teibert,Vancouver Whitecaps,D-M,400000.0,449375.0
Carlos,Terán,Chicago Fire,D,260004.0,350004.0
Dylan,Teves,Seattle Sounders FC,M,68775.0,68775.0
Dagur Dan,Thórhallsson,Orlando City SC,M,160000.0,195500.0
Nökkvi,Thórisson,St. Louis City SC,M,150000.0,172438.0
Jamal,Thiaré,Atlanta United,F,977679.0,1072679.0
Andrew,Thomas,Seattle Sounders FC,GK,125000.0,132500.0
Erik,Thommy,Sporting Kansas City,M-F,1550000.0,1656250.0
Kosi,Thompson,Toronto FC,M,85444.0,90704.0
Tommy,Thompson,San Jose Earthquakes,D,115000.0,115000.0
Róbert Orri,Thorkelsson,CF Montreal,D,175000.0,198500.0
Timothy,Tillman,LAFC,M,500000.0,537500.0
Keegan,Tingey,San Jose Earthquakes,D,67360.0,67360.0
John,Tolkin,New York Red Bulls,D,400000.0,435500.0
Nouhou,Tolo,Seattle Sounders FC,D,550000.0,571875.0
Facundo,Torres,Orlando City SC,M,640000.0,993200.0
Jairo,Torres,Chicago Fire,M,1100004.0,1469337.0
Joaquín,Torres,Philadelphia Union,M,260000.0,309800.0
Christian,Torres,LAFC,M,112500.0,123165.0
Dantouma,Toure,Major League Soccer,M,85444.0,100062.0
Mason,Toye,CF Montreal,F,550000.0,608000.0
Mohamed,Traore,LAFC,D,125000.0,125000.0
Wil,Trapp,Minnesota United,D-M,850000.0,850000.0
Miguel,Trauco,San Jose Earthquakes,D,500000.0,550000.0
Jackson,Travis,Colorado Rapids,D,67360.0,69860.0
Holden,Trent,Philadelphia Union,GK,67360.0,67360.0
Niko,Tsakiris,San Jose Earthquakes,M,85444.0,89611.0
Bill,Tuiloma,Charlotte,D,435000.0,459938.0
Stephen,Turnbull,New York City FC,D,85444.0,85444.0
Ema,Twumasi,FC Dallas,D,320000.0,339300.0
Marinos,Tzionis,Sporting Kansas City,M,625000.0,625000.0
Mikael,Uhre,Philadelphia Union,F,1700000.0,1940000.0
Nathan,Uiliam Fogaça,Portland Timbers,F,68775.0,68775.0
Víctor,Ulloa,Inter Miami,D-M,250000.0,250000.0
Jere,Uronen,Charlotte,D,450000.0,497813.0
Maximiliano,Urruti,Austin FC,F,700000.0,736250.0
Víctor,Vázquez,Toronto FC,M-F,268000.0,301500.0
Leo,Väisänen,Austin FC,D,600000.0,654500.0
Tomas,Vaclik,New England Revolution,GK,400000.0,436944.0
Xavier,Valdez,Houston Dynamo,GK,85444.0,95155.0
Felipe,Valencia,Inter Miami,M,85444.0,85444.0
Jhojan,Valencia,Austin FC,D-M,400000.0,445125.0
Zarek,Valentin,Minnesota United,D,85444.0,85444.0
Gerardo,Valenzuela,Cincinnati,M-F,67360.0,84902.0
Gustavo,Vallecilla,Columbus Crew,D,336000.0,368880.0
Dante,Vanzeir,New York Red Bulls,F,1320000.0,1459767.0
Kerwin,Vargas,Charlotte,F,375000.0,412125.0
Obed,Vargas,Seattle Sounders FC,M,67360.0,76392.0
Indiana,Vassilev,St. Louis City SC,M-F,250000.0,281250.0
Brandon,Vazquez,Cincinnati,F,900000.0,1041000.0
Carlos,Vela,LAFC,M,3000000.0,4383900.0
Alan,Velasco,FC Dallas,M,1200000.0,1401000.0
Brayan,Vera,Real Salt Lake,D,450000.0,507000.0
Matías,Vera,Houston Dynamo,D-M,550000.0,622813.0
Oscar,Verhoeven,San Jose Earthquakes,D,67360.0,80755.0
Kenneth,Vermeer,Major League Soccer,GK,387334.0,387334.0
Ranko,Veselinovic,Vancouver Whitecaps,D,495000.0,580500.0
Jules-Anthony,Vilsaint,CF Montreal,F,85444.0,92319.0
Pedro,Vite,Vancouver Whitecaps,M-F,592000.0,645997.0
Gino,Vivi,LA Galaxy,M,67360.0,67360.0
Robert,Voloder,Sporting Kansas City,D,425000.0,452860.0
Giacomo,Vrioni,New England Revolution,F,1600000.0,1847500.0
Kai,Wagner,Philadelphia Union,D,630000.0,701000.0
Casey,Walls,San Jose Earthquakes,D,150000.0,153000.0
Rémi,Walter,Sporting Kansas City,M,850000.0,850000.0
Paul,Walters,Cincinnati,GK,67360.0,75327.0
Victor,Wanyama,CF Montreal,D-M,1440000.0,1800000.0
Collen,Warner,Major League Soccer,M,85444.0,85444.0
Taylor,Washington,Nashville SC,D,98688.0,112269.0
Joel,Waterman,CF Montreal,D,161369.0,288202.0
Akil,Watts,St. Louis City SC,D-M,67360.0,67360.0
Patrick,Weah,Minnesota United,M,85444.0,98736.0
Jude,Wellings,Real Salt Lake,M,85444.0,105444.0
Quentin,Westberg,Atlanta United,GK,200000.0,200000.0
Ashley,Westwood,Charlotte,D-M,750000.0,850000.0
Brian,White,Vancouver Whitecaps,F,511000.0,511000.0
Caleb,Wiley,Atlanta United,D,85444.0,87044.0
Thomas,Williams,Orlando City SC,D,85444.0,91974.0
Josh,Williams,Columbus Crew,D,325000.0,325000.0
Derrick,Williams,DC United,D,800000.0,871458.0
Eryk,Williamson,Portland Timbers,M,625000.0,625000.0
Joe,Willis,Nashville SC,GK,375000.0,391250.0
Danny,Wilson,Colorado Rapids,D,330000.0,354750.0
Tyler,Wolff,Atlanta United,M,120000.0,124500.0
Owen,Wolff,Austin FC,M,100000.0,113053.0
Bobby,Wood,New England Revolution,F,400000.0,421250.0
Laurence,Wyke,Nashville SC,D,85444.0,87777.0
Karifa,Yao,Vancouver Whitecaps,D,89716.0,94123.0
Darren,Yapi,Colorado Rapids,F,85444.0,96277.0
William,Yarbrough,Colorado Rapids,GK,400000.0,475000.0
Joshua,Yaro,St. Louis City SC,D,85444.0,85444.0
